,iid,id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field,field_cd,race,imprace,imprelig,from,zipcode,goal,date,go_out,career,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2
2189,160,3.0,1,6,2,7,16,3,3.0,1,6,147.0,1,0.25,0,26.0,4.0,18.0,18.0,20.0,18.0,16.0,10.0,1,8.0,6.0,7.0,8.0,9.0,7.0,8.0,10.0,1.0,29.0,Business/ Finance/ Real Estate,8.0,1.0,3.0,4.0,North Carolina,"28,387",2.0,5.0,2.0,Real Estate/ Private Equity,8.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,6.0,16.0,18.0,18.0,18.0,14.0,16.0,9.0,7.0,8.0,8.0,7.0,7.0,14.29,20.41,16.33,16.33,18.37,14.29,8.0,8.0,9.0,8.0,9.0,1,8.0,10.0,9.0,8.0,8.0,7.0,6.0,8.0,1.0,4.0,6.0,3.0,3.0,17.31,19.23,17.31,15.38,15.38,15.38,8.0,7.0,8.0,7.0,9.0,8.0,13.46,19.23,17.31,15.38,19.23,15.38,8.0,8.0,8.0,9.0,9.0
2198,160,3.0,1,6,2,7,16,7,3.0,5,15,156.0,1,-0.03,1,30.0,1.0,14.0,18.0,16.0,18.0,18.0,16.0,1,7.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,1.0,29.0,Business/ Finance/ Real Estate,8.0,1.0,3.0,4.0,North Carolina,"28,387",2.0,5.0,2.0,Real Estate/ Private Equity,8.0,9.0,8.0,10.0,6.0,6.0,4.0,3.0,4.0,8.0,6.0,3.0,7.0,9.0,6.0,9.0,3.0,2.0,6.0,16.0,18.0,18.0,18.0,14.0,16.0,9.0,7.0,8.0,8.0,7.0,7.0,14.29,20.41,16.33,16.33,18.37,14.29,8.0,8.0,9.0,8.0,9.0,1,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,1.0,4.0,6.0,3.0,3.0,17.31,19.23,17.31,15.38,15.38,15.38,8.0,7.0,8.0,7.0,9.0,8.0,13.46,19.23,17.31,15.38,19.23,15.38,8.0,8.0,8.0,9.0,9.0
2243,163,6.0,1,12,2,7,16,11,11.0,1,12,153.0,1,0.49,0,28.0,4.0,9.76,19.51,19.51,14.63,19.51,17.07,1,8.0,8.0,8.0,8.0,6.0,7.0,8.0,7.0,2.0,26.0,Art Education,9.0,2.0,1.0,1.0,Minnesota,"55,391",4.0,3.0,3.0,college art teacher,2.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,2.0,12.0,20.0,20.0,20.0,16.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,14.29,14.29,14.29,23.81,14.29,19.05,7.0,8.0,8.0,9.0,7.0,1,8.0,10.0,8.0,8.0,8.0,6.0,8.0,5.0,0.0,3.0,7.0,3.0,2.0,14.89,17.02,19.15,19.15,14.89,14.89,9.0,7.0,7.0,9.0,7.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,8.0,9.0,8.0,7.0
2246,163,6.0,1,12,2,7,16,7,11.0,13,15,156.0,1,0.21,0,30.0,1.0,14.0,18.0,16.0,18.0,18.0,16.0,1,6.0,9.0,10.0,7.0,10.0,8.0,7.0,6.0,2.0,26.0,Art Education,9.0,2.0,1.0,1.0,Minnesota,"55,391",4.0,3.0,3.0,college art teacher,2.0,6.0,2.0,2.0,4.0,8.0,8.0,4.0,1.0,1.0,8.0,1.0,6.0,6.0,4.0,6.0,2.0,1.0,2.0,12.0,20.0,20.0,20.0,16.0,12.0,8.0,8.0,8.0,8.0,8.0,8.0,14.29,14.29,14.29,23.81,14.29,19.05,7.0,8.0,8.0,9.0,7.0,1,8.0,9.0,9.0,8.0,8.0,8.0,8.0,6.0,0.0,3.0,7.0,3.0,2.0,14.89,17.02,19.15,19.15,14.89,14.89,9.0,7.0,7.0,9.0,7.0,9.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,8.0,9.0,8.0,7.0
2269,165,8.0,1,16,2,7,16,3,12.0,8,6,147.0,1,0.66,0,26.0,4.0,18.0,18.0,20.0,18.0,16.0,10.0,1,7.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,2.0,30.0,American Studies (Masters),13.0,2.0,4.0,7.0,Detroit,"48,070",3.0,6.0,3.0,Writer,6.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,6.0,16.67,12.5,20.83,18.75,12.5,18.75,10.0,6.0,6.0,8.0,2.0,6.0,9.09,20.45,18.18,20.45,13.64,18.18,8.0,6.0,7.0,9.0,2.0,1,7.0,8.0,8.0,10.0,8.0,5.0,8.0,4.0,0.0,3.0,8.0,1.0,2.0,19.51,19.51,21.95,14.63,7.32,17.07,9.0,8.0,5.0,7.0,2.0,5.0,13.95,18.6,16.28,16.28,18.6,16.28,8.0,7.0,9.0,5.0,3.0
2274,165,8.0,1,16,2,7,16,12,12.0,1,11,152.0,1,0.62,0,27.0,4.0,14.0,20.0,20.0,14.0,18.0,14.0,1,8.0,8.0,7.0,8.0,8.0,9.0,9.0,6.0,2.0,30.0,American Studies (Masters),13.0,2.0,4.0,7.0,Detroit,"48,070",3.0,6.0,3.0,Writer,6.0,3.0,1.0,6.0,6.0,7.0,7.0,2.0,1.0,1.0,10.0,8.0,8.0,8.0,5.0,5.0,2.0,2.0,6.0,16.67,12.5,20.83,18.75,12.5,18.75,10.0,6.0,6.0,8.0,2.0,6.0,9.09,20.45,18.18,20.45,13.64,18.18,8.0,6.0,7.0,9.0,2.0,1,8.0,9.0,10.0,5.0,9.0,5.0,7.0,4.0,0.0,3.0,8.0,1.0,2.0,19.51,19.51,21.95,14.63,7.32,17.07,9.0,8.0,5.0,7.0,2.0,5.0,13.95,18.6,16.28,16.28,18.6,16.28,8.0,7.0,9.0,5.0,3.0
2304,167,10.0,1,20,2,7,16,8,10.0,15,9,150.0,1,0.39,1,31.0,2.0,12.0,20.0,20.0,20.0,14.0,14.0,1,7.0,7.0,8.0,8.0,8.0,8.0,7.0,5.0,2.0,23.0,biology,10.0,2.0,1.0,1.0,colorado,"80,005",2.0,6.0,2.0,professor,2.0,9.0,9.0,8.0,6.0,8.0,8.0,9.0,2.0,5.0,6.0,5.0,6.0,8.0,6.0,7.0,3.0,2.0,3.0,18.6,13.95,18.6,16.28,16.28,16.28,9.0,5.0,6.0,8.0,5.0,5.0,13.64,18.18,20.45,13.64,15.91,18.18,6.0,7.0,7.0,7.0,5.0,1,7.0,5.0,6.0,7.0,5.0,4.0,6.0,5.0,0.0,4.0,6.0,1.0,3.0,19.05,14.29,19.05,16.67,16.67,14.29,9.0,5.0,6.0,8.0,7.0,8.0,13.64,18.18,20.45,15.91,13.64,18.18,6.0,5.0,6.0,6.0,4.0
2406,173,16.0,1,32,2,7,16,7,16.0,8,15,156.0,1,-0.15,0,30.0,1.0,14.0,18.0,16.0,18.0,18.0,16.0,1,6.0,9.0,10.0,9.0,9.0,7.0,8.0,7.0,2.0,22.0,math,2.0,2.0,5.0,7.0,NJ,"8,536",1.0,4.0,1.0,professor,2.0,10.0,8.0,9.0,6.0,5.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,6.0,9.0,10.0,3.0,6.0,3.0,18.37,18.37,20.41,20.41,16.33,6.12,8.0,7.0,6.0,8.0,7.0,5.0,14.58,18.75,18.75,20.83,16.67,10.42,7.0,9.0,9.0,9.0,9.0,1,7.0,7.0,7.0,7.0,7.0,6.0,6.0,5.0,0.0,5.0,6.0,3.0,3.0,17.78,17.78,17.78,20.0,15.56,11.11,8.0,7.0,6.0,8.0,6.0,6.0,12.77,19.15,17.02,19.15,17.02,14.89,7.0,8.0,8.0,8.0,8.0
2408,174,1.0,0,1,1,8,10,1,1.0,9,1,184.0,1,0.34,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,8.0,10.0,10.0,8.0,6.0,7.0,7.0,7.0,2.0,29.0,International Affairs/Finance,8.0,4.0,1.0,1.0,Pennsylvania,"19,087",4.0,5.0,3.0,Finance,7.0,5.0,4.0,6.0,6.0,8.0,8.0,4.0,4.0,6.0,8.0,4.0,6.0,5.0,9.0,9.0,6.0,5.0,5.0,9.52,23.81,16.67,16.67,16.67,16.67,8.0,8.0,6.0,8.0,5.0,8.0,17.07,17.07,14.63,19.51,12.2,19.51,9.0,10.0,8.0,8.0,6.0,1,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,7.0,1.0,3.0,11.9,23.81,16.67,16.67,16.67,14.29,8.0,8.0,7.0,8.0,7.0,7.0,18.18,18.18,15.91,15.91,15.91,15.91,9.0,10.0,7.0,7.0,7.0
2428,176,3.0,0,5,1,8,10,7,7.0,5,1,184.0,1,0.48,0,34.0,2.0,16.67,16.67,16.67,16.67,16.67,16.67,1,10.0,10.0,10.0,7.0,10.0,6.0,9.0,7.0,2.0,28.0,MBA,8.0,4.0,10.0,1.0,California,"92,602",2.0,6.0,3.0,Finance,7.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,6.0,9.0,7.0,8.0,6.0,1,7.0,7.0,8.0,6.0,7.0,5.0,6.0,3.0,2.0,4.0,3.0,3.0,1.0,15.91,20.45,18.18,15.91,13.64,15.91,8.0,8.0,7.0,7.0,7.0,7.0,19.57,17.39,15.22,17.39,13.04,17.39,7.0,8.0,8.0,6.0,6.0
2430,176,3.0,0,5,1,8,10,7,7.0,4,3,186.0,1,0.5,1,24.0,4.0,19.44,19.44,22.22,16.67,11.11,11.11,1,8.0,7.0,7.0,6.0,7.0,8.0,7.0,6.0,2.0,28.0,MBA,8.0,4.0,10.0,1.0,California,"92,602",2.0,6.0,3.0,Finance,7.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,6.0,9.0,7.0,8.0,6.0,1,7.0,8.0,7.0,6.0,5.0,6.0,7.0,5.0,2.0,4.0,3.0,3.0,1.0,15.91,20.45,18.18,15.91,13.64,15.91,8.0,8.0,7.0,7.0,7.0,7.0,19.57,17.39,15.22,17.39,13.04,17.39,7.0,8.0,8.0,6.0,6.0
2435,176,3.0,0,5,1,8,10,7,7.0,8,8,191.0,1,0.32,0,28.0,2.0,20.45,20.45,20.45,18.18,18.18,2.27,1,7.0,8.0,7.0,7.0,8.0,7.0,6.0,7.0,2.0,28.0,MBA,8.0,4.0,10.0,1.0,California,"92,602",2.0,6.0,3.0,Finance,7.0,7.0,6.0,5.0,10.0,10.0,9.0,7.0,4.0,4.0,5.0,5.0,8.0,8.0,8.0,8.0,6.0,3.0,7.0,13.04,21.74,19.57,17.39,15.22,13.04,8.0,9.0,8.0,8.0,7.0,6.0,18.75,18.75,16.67,18.75,12.5,14.58,6.0,9.0,7.0,8.0,6.0,1,8.0,6.0,7.0,8.0,7.0,6.0,5.0,5.0,2.0,4.0,3.0,3.0,1.0,15.91,20.45,18.18,15.91,13.64,15.91,8.0,8.0,7.0,7.0,7.0,7.0,19.57,17.39,15.22,17.39,13.04,17.39,7.0,8.0,8.0,6.0,6.0
2464,179,6.0,0,11,1,8,10,9,9.0,4,7,190.0,1,0.22,0,25.0,2.0,15.56,20.0,20.0,20.0,13.33,11.11,1,10.0,8.0,10.0,9.0,9.0,5.0,9.0,5.0,2.0,30.0,English and Comp Lit,6.0,3.0,5.0,1.0,California,"91,011",1.0,6.0,3.0,academics,2.0,5.0,5.0,10.0,10.0,7.0,7.0,5.0,1.0,7.0,10.0,1.0,8.0,8.0,7.0,9.0,10.0,9.0,2.0,19.15,21.28,17.02,17.02,12.77,12.77,7.0,10.0,8.0,7.0,6.0,9.0,22.73,13.64,18.18,22.73,11.36,11.36,8.0,10.0,6.0,8.0,10.0,1,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,1.0,1.0,3.0,18.75,18.75,18.75,16.67,14.58,12.5,7.0,9.0,8.0,7.0,7.0,9.0,21.28,12.77,12.77,21.28,12.77,19.15,7.0,10.0,9.0,7.0,9.0
2479,181,8.0,0,15,1,8,10,5,5.0,9,2,185.0,1,0.62,0,25.0,4.0,16.98,15.09,16.98,16.98,18.87,15.09,1,9.0,10.0,8.0,8.0,8.0,5.0,9.0,10.0,2.0,22.0,Sociomedical Sciences- School of Public Health,4.0,1.0,7.0,8.0,"Brooklyn, NY","11,217",1.0,5.0,5.0,academic research,2.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,15.38,19.23,19.23,17.31,17.31,11.54,10.0,7.0,7.0,10.0,9.0,10.0,18.87,11.32,16.98,18.87,16.98,16.98,9.0,9.0,9.0,9.0,9.0,1,6.0,8.0,9.0,6.0,10.0,6.0,6.0,6.0,2.0,2.0,7.0,1.0,2.0,15.69,19.61,17.65,15.69,17.65,13.73,10.0,9.0,8.0,8.0,8.0,8.0,22.73,11.36,11.36,22.73,18.18,13.64,9.0,9.0,9.0,9.0,9.0
2485,181,8.0,0,15,1,8,10,5,5.0,6,8,191.0,1,0.16,0,28.0,2.0,20.45,20.45,20.45,18.18,18.18,2.27,1,8.0,8.0,8.0,8.0,8.0,5.0,7.0,7.0,2.0,22.0,Sociomedical Sciences- School of Public Health,4.0,1.0,7.0,8.0,"Brooklyn, NY","11,217",1.0,5.0,5.0,academic research,2.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,15.38,19.23,19.23,17.31,17.31,11.54,10.0,7.0,7.0,10.0,9.0,10.0,18.87,11.32,16.98,18.87,16.98,16.98,9.0,9.0,9.0,9.0,9.0,1,8.0,9.0,8.0,8.0,8.0,4.0,6.0,5.0,2.0,2.0,7.0,1.0,2.0,15.69,19.61,17.65,15.69,17.65,13.73,10.0,9.0,8.0,8.0,8.0,8.0,22.73,11.36,11.36,22.73,18.18,13.64,9.0,9.0,9.0,9.0,9.0
2487,181,8.0,0,15,1,8,10,5,5.0,1,10,193.0,1,0.54,0,25.0,4.0,20.93,16.28,23.26,16.28,11.63,11.63,1,8.0,10.0,8.0,6.0,9.0,9.0,8.0,7.0,2.0,22.0,Sociomedical Sciences- School of Public Health,4.0,1.0,7.0,8.0,"Brooklyn, NY","11,217",1.0,5.0,5.0,academic research,2.0,3.0,6.0,5.0,9.0,9.0,9.0,6.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,6.0,4.0,15.38,19.23,19.23,17.31,17.31,11.54,10.0,7.0,7.0,10.0,9.0,10.0,18.87,11.32,16.98,18.87,16.98,16.98,9.0,9.0,9.0,9.0,9.0,1,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,2.0,2.0,7.0,1.0,2.0,15.69,19.61,17.65,15.69,17.65,13.73,10.0,9.0,8.0,8.0,8.0,8.0,22.73,11.36,11.36,22.73,18.18,13.64,9.0,9.0,9.0,9.0,9.0
